"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUEL"
25236,"H",7,6301,3,48,1000000,1001264,61,1,1,3,1,0,1,1,2,0,2,2,0,0,0,300,0,1,2,3,2,3,0,2,0,0,0,0,0,3,0,1,5,0,0,1,9,0,1,0,1,1,2,1,0,87000,0,700,3,0,0,0,0,0,0,0,0,0,0,2,6,8800,9,0,4,4,4,1,1,1,7,0,0,0,37589.169
25511,"H",7,6603,3,48,1000000,1001264,60,1,1,2,1,0,1,3,2,0,2,2,0,0,0,80,0,2,2,3,2,3,1500,1,0,0,2,800,2,1,0,1,5,0,0,1,9,0,1,0,1,1,1,1,0,1e+05,1,660,5,0,0,0,1,0,0,0,1,0,0,1,6,34800,9,0,4,4,4,1,1,1,7,0,0,0,23206.658
25660,"H",7,5307,3,48,1000000,1001264,50,3,1,1,1,0,1,3,3,2,2,2,0,2,2,200,1,2,2,50,1,1,1200,1,0,2,2,2800,2,1,2,1,6,0,0,1,9,2,1,0,1,2,1,1,0,750000,2,600,19,1,0,0,0,325000,1,0,0,0,0,3,1,325000,9,0,1,1,1,1,1,1,1,1,3,0,19802.641
25943,"H",7,2309,3,48,1000000,1001264,60,4,1,1,1,0,1,4,2,2,2,2,0,2,2,180,1,2,2,70,1,1,1700,1,0,2,1,1800,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,3e+05,2,150,5,1,0,0,0,150000,1,0,0,0,0,1,1,150000,9,0,1,1,1,1,1,1,3,2,4,0,35756.904
26006,"H",7,4803,3,48,1000000,1001264,58,3,1,1,2,2,1,2,2,1,2,2,0,2,1,640,2,2,2,3,1,3,1000,1,0,2,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,60000,4,2,3,2,0,0,0,54800,2,0,0,0,0,1,1,54800,9,0,2,2,2,1,1,1,7,1,3,0,24173.49
26094,"H",7,4624,3,48,1000000,1001264,106,2,1,1,1,0,1,3,2,2,2,2,0,2,1,170,2,2,2,20,2,1,2100,1,0,2,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,170000,2,600,5,4,0,0,0,110700,4,0,0,0,0,1,1,110700,9,0,4,4,4,1,1,1,6,0,2,0,49013.608
26180,"H",7,5306,3,48,1000000,1001264,42,2,1,1,1,0,1,4,2,1,2,2,0,2,1,230,2,2,2,190,1,1,1500,1,0,1,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,2411000,3,60,2,1,0,0,0,168000,4,0,0,0,0,1,1,168000,9,0,4,4,4,1,1,1,7,0,2,0,31570.624
26185,"H",7,100,3,48,1000000,1001264,36,2,1,1,1,0,1,3,2,2,2,2,0,1,2,110,2,2,2,50,1,1,2500,1,0,2,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,3e+05,4,90,6,1,0,0,0,406000,4,0,0,0,0,2,1,406000,9,0,4,4,4,1,1,1,6,0,2,0,47673.902
26654,"H",7,3305,3,48,1000000,1001264,69,2,1,1,3,1,1,4,2,2,2,2,0,2,2,100,2,2,2,70,2,1,1500,1,0,1,2,90,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,3e+05,2,820,3,4,0,0,0,52500,4,0,1,0,0,1,1,52500,9,0,4,4,4,1,1,1,6,0,2,0,44309.629
26737,"H",7,4901,3,48,1000000,1001264,173,3,1,1,1,0,1,3,2,1,2,2,0,2,2,130,2,2,2,60,1,1,250,1,0,1,1,1000,2,1,2,1,4,0,0,1,9,2,1,0,1,1,1,1,0,160000,3,600,7,0,0,0,1,0,0,0,1,0,0,4,7,69300,9,0,4,4,4,1,1,1,6,0,0,0,10118
27096,"H",7,1000,3,48,1000000,1001264,77,3,1,1,1,0,1,2,3,1,2,2,0,2,2,250,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,500,1,9,2,1,0,1,1,3,1,0,0,2,60,7,2,0,0,0,37000,1,0,0,755,24,1,1,37000,9,0,1,1,1,1,1,1,2,1,3,0,20992.95
27216,"H",7,4701,3,48,1000000,1001264,26,2,1,1,1,0,1,3,2,1,2,1,0,2,2,130,1,2,2,50,1,1,3000,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,425000,2,500,8,4,0,0,0,467000,4,0,0,0,0,1,1,467000,9,0,4,4,4,1,1,1,3,0,2,0,20893
27288,"H",7,3301,3,48,1000000,1001264,35,3,1,1,1,0,1,3,2,1,2,2,0,2,2,130,2,2,2,20,1,1,840,1,0,2,2,350,2,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,30000,4,70,6,8,0,0,0,28800,4,0,1,0,0,2,3,28800,9,0,4,4,4,1,1,1,6,0,3,0,59352.745
27422,"H",7,1501,3,48,1000000,1001264,68,3,1,3,3,1,1,3,1,0,2,2,0,0,0,320,0,2,2,3,1,3,480,2,1400,0,0,0,0,3,0,1,7,0,0,1,9,0,1,0,1,1,2,1,0,85000,2,570,8,4,0,0,0,25300,4,0,0,0,0,1,1,25300,9,0,4,4,4,1,1,1,5,0,3,0,73794.739
27433,"H",7,5204,3,48,1000000,1001264,86,1,1,3,0,0,1,1,9,0,0,2,0,0,0,60,0,2,2,3,2,3,0,2,0,0,0,0,0,0,0,1,2,1,800,1,9,0,1,0,2,1,3,1,0,0,0,60,8,0,0,1,1,0,0,0,0,865,30,1,6,34050,9,0,4,4,4,2,1,1,1,0,0,0,57833.547
27985,"H",7,2514,3,48,1000000,1001264,55,1,1,3,1,0,1,3,2,0,2,2,0,0,0,50,0,2,2,30,2,1,0,2,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,50000,1,40,3,0,0,0,0,0,0,0,0,0,0,1,4,14300,9,0,4,4,4,1,1,1,6,0,0,0,43814.345
28322,"H",7,2400,3,48,1000000,1001264,67,1,1,1,1,0,1,3,2,2,2,2,0,2,2,30,2,2,2,3,1,3,1700,1,0,2,1,580,1,1,2,1,5,0,0,1,9,1,1,0,1,1,1,1,0,1e+05,1,470,8,0,0,0,0,0,0,0,0,0,0,1,6,14600,9,0,4,4,4,1,1,1,5,0,0,0,95804.866
28375,"H",7,6601,3,48,1000000,1001264,85,2,1,3,0,0,1,2,7,0,0,2,0,0,0,170,0,2,2,20,2,3,0,2,0,0,0,0,0,0,0,1,4,2,680,1,9,0,1,0,1,1,3,1,0,0,2,20,8,0,0,1,0,26100,4,0,0,872,40,1,1,26100,9,0,4,4,4,1,1,1,1,0,2,0,37206.027
29044,"H",7,2514,3,48,1000000,1001264,59,1,1,3,1,0,1,3,2,0,2,2,0,0,0,180,0,2,2,3,1,3,1700,1,0,0,1,850,1,1,0,1,7,0,0,1,9,0,1,0,1,1,1,1,0,150000,1,760,8,0,0,0,0,0,0,0,0,0,0,1,4,60000,9,0,4,4,4,1,1,1,5,0,0,0,39831.805
29081,"H",7,1904,3,48,1000000,1001264,69,2,1,1,1,0,1,2,3,1,2,2,0,2,2,150,1,2,2,3,1,3,1200,1,0,2,0,0,0,3,2,1,3,0,0,1,9,2,1,0,1,1,2,1,0,160000,2,80,11,1,0,0,0,136000,4,0,0,0,0,1,1,136000,9,0,4,4,4,1,1,1,4,0,2,0,45301.338
29137,"H",7,4902,3,48,1000000,1001264,57,2,1,1,1,0,1,3,3,2,2,2,210,2,2,140,2,2,2,30,1,3,1000,1,0,1,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,120000,2,1,5,4,0,0,0,52000,4,0,0,0,0,1,1,52000,9,0,4,4,4,1,1,1,5,0,2,0,63509
29487,"H",7,4601,3,48,1000000,1001264,68,2,1,3,1,0,1,3,2,0,2,2,0,0,0,160,0,2,2,30,2,1,1500,2,0,0,0,0,0,3,0,1,9,0,0,1,9,0,1,0,1,1,2,1,0,120000,1,370,1,4,0,0,0,17100,4,0,0,0,0,2,1,17100,9,0,4,4,4,1,1,1,7,0,2,0,62343.037
29752,"H",7,3400,3,48,1000000,1001264,14,1,1,3,1,0,1,2,2,0,2,2,0,0,0,140,0,2,2,3,2,6,800,2,0,0,0,0,0,3,0,1,4,0,0,1,9,0,1,0,1,1,2,1,0,175000,1,380,5,0,0,0,0,0,0,0,0,0,0,1,4,27900,9,0,4,4,4,1,1,1,5,0,0,0,13471.379
30052,"H",7,3306,3,48,1000000,1001264,182,2,1,1,1,0,1,4,2,1,2,1,0,2,1,380,2,2,2,80,1,1,2800,1,0,2,2,600,2,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,350000,4,3600,4,1,1,0,1,150000,4,0,0,0,0,2,1,150000,9,0,4,4,4,1,1,1,6,0,2,0,42281.724
31328,"H",7,2321,3,48,1000000,1001264,118,2,1,1,0,0,1,1,5,2,0,2,0,2,2,100,2,2,2,3,1,3,0,1,0,1,0,0,0,0,1,1,3,2,630,1,9,2,1,0,1,1,3,1,0,0,2,500,5,2,1,0,1,44000,4,0,0,772,21,5,1,44000,9,0,4,4,4,1,1,1,3,0,2,0,39588.432
31476,"H",7,2511,3,48,1000000,1001264,96,3,1,1,1,0,1,3,2,2,2,2,0,2,2,180,1,2,2,80,1,1,1800,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,2e+05,2,1200,16,1,0,0,0,167000,4,0,0,0,0,1,1,167000,9,0,4,4,4,1,1,1,3,0,3,0,25539.157
31614,"H",7,2511,3,48,1000000,1001264,77,4,1,1,1,0,1,4,2,1,2,2,0,2,1,520,2,2,2,40,1,3,2000,1,0,2,0,0,0,3,2,1,11,0,0,1,9,2,1,0,1,1,2,1,0,240000,4,200,8,1,0,0,0,87000,4,0,0,0,0,4,1,87000,9,0,4,4,4,1,1,1,5,0,4,0,93932
31733,"H",7,3302,3,48,1000000,1001264,102,2,1,1,1,0,1,3,2,1,2,2,0,2,1,90,1,2,2,60,1,1,600,1,0,2,1,830,1,1,2,1,5,0,0,1,9,2,1,280,1,1,1,1,0,150000,2,1400,5,2,0,0,0,79800,4,0,0,0,0,2,1,79800,9,0,4,4,4,1,1,1,5,0,2,0,208326.032
31755,"H",7,2509,3,48,1000000,1001264,52,2,1,1,1,0,1,4,2,1,2,2,0,2,2,400,2,2,2,3,1,3,2100,1,0,1,1,2100,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,375000,2,1200,6,4,0,0,0,84500,4,0,0,0,0,1,1,84500,9,0,4,4,4,1,1,1,5,0,2,0,49445.347
31765,"H",7,5307,3,48,1000000,1001264,55,5,1,1,1,0,1,3,2,1,2,2,0,2,2,150,2,2,2,30,1,1,0,1,0,2,0,0,0,0,2,1,6,2,1400,1,9,2,1,0,1,1,3,1,0,0,2,20,5,1,0,0,0,68000,3,0,0,1582,28,2,1,68000,9,0,3,3,3,1,1,1,3,3,5,0,97581.844
31854,"H",7,700,3,48,1000000,1001264,45,1,1,3,1,0,1,3,2,0,2,2,0,0,0,70,0,2,2,50,2,1,800,2,0,0,2,300,2,1,0,1,6,0,0,1,9,0,1,0,1,1,1,1,0,60000,1,660,4,0,0,0,1,0,0,0,1,0,0,1,6,14300,9,0,4,4,4,1,1,1,7,0,0,0,89041.434
32199,"H",7,5301,3,48,1000000,1001264,183,3,1,1,1,0,1,5,2,1,2,2,0,2,2,250,2,2,2,20,1,3,1200,1,0,1,1,2200,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,275000,2,2100,14,1,0,0,0,140100,1,0,0,0,0,1,1,140100,9,0,1,1,1,1,1,1,3,1,3,0,40449.217
32207,"H",7,4610,3,48,1000000,1001264,32,4,1,1,1,0,1,3,3,1,2,1,0,2,1,300,2,2,2,30,1,1,400,1,0,2,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,80000,2,840,5,1,1,0,1,83880,3,0,0,0,0,2,1,83880,9,0,3,3,3,1,1,1,5,2,4,0,55958.346
32561,"H",7,5911,3,48,1000000,1001264,101,2,1,1,1,0,1,2,2,2,2,2,0,2,2,120,2,2,2,2,1,1,800,1,0,1,0,0,0,3,2,1,3,0,0,1,9,2,1,0,1,1,2,1,0,220000,2,60,7,1,0,0,0,120000,4,0,0,0,0,4,1,120000,9,0,4,4,4,1,2,1,1,0,2,0,23841.4
32699,"H",7,2313,3,48,1000000,1001264,38,1,1,1,1,0,1,4,3,2,2,2,0,2,2,300,2,2,2,70,1,3,1000,1,0,1,1,2700,1,1,2,1,6,0,0,1,9,2,1,0,1,2,1,1,0,550000,1,80,19,0,0,0,0,0,0,0,0,0,0,1,4,346000,9,0,4,4,4,1,1,1,1,0,0,0,14255
32986,"H",7,2800,3,48,1000000,1001264,113,2,1,3,2,1,1,2,2,0,2,2,0,0,0,200,0,2,2,70,2,1,0,2,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,13000,1,2,5,0,0,0,0,0,0,0,0,0,0,1,7,16500,9,0,4,4,4,1,1,1,4,0,0,0,40345.719
33280,"H",7,5204,3,48,1000000,1001264,65,2,1,1,1,0,1,2,2,1,2,2,0,2,2,160,2,2,2,20,1,1,600,1,0,1,1,700,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,95000,2,100,2,1,0,0,0,190000,4,0,0,0,0,1,1,190000,9,0,4,4,4,1,1,1,4,0,2,0,25937.137
33554,"H",7,1100,3,48,1000000,1001264,36,1,1,3,2,1,1,1,2,0,2,2,0,0,0,80,0,1,2,3,2,3,0,2,0,0,0,0,0,0,0,1,4,2,200,1,9,0,1,0,1,1,3,1,0,0,0,50,3,0,0,0,1,0,0,0,0,284,15,1,4,22600,9,0,4,4,4,1,1,1,3,0,0,0,48629.2
33570,"H",7,4626,3,48,1000000,1001264,127,2,1,1,0,0,1,3,7,2,0,2,0,2,2,300,2,1,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,770,1,9,2,1,0,1,1,3,1,0,0,0,90,8,8,0,0,0,12950,2,0,0,1078,100,1,3,12950,9,0,2,2,2,1,1,1,4,1,2,0,38190.274
33601,"H",7,6000,3,48,1000000,1001264,27,3,1,1,1,0,1,3,2,1,2,2,0,2,1,180,2,2,2,70,1,3,1000,1,0,2,2,300,2,1,2,1,6,0,0,1,9,1,1,0,1,1,1,1,0,80000,5,840,1,5,1,0,1,45900,4,0,1,0,0,2,2,67700,9,0,4,4,4,1,1,1,5,0,2,0,50615.159
34040,"H",7,6806,3,48,1000000,1001264,106,2,1,3,1,0,1,3,2,0,2,2,0,0,0,120,0,2,2,3,2,3,1800,2,0,0,1,990,1,1,0,1,6,0,0,1,9,0,1,0,1,1,1,1,0,1e+05,1,540,13,5,1,0,1,55000,4,0,1,0,0,2,2,55000,9,0,4,4,4,1,1,1,4,0,2,0,41542.906
34171,"H",7,6500,3,48,1000000,1001264,98,4,1,1,1,0,1,3,1,1,2,2,0,2,2,350,2,2,2,3,1,3,40,1,140,1,2,220,2,1,2,1,4,0,0,1,9,2,1,0,1,1,1,1,0,5000,2,2,7,7,0,0,0,34100,2,0,1,0,0,3,3,34100,9,0,2,2,2,1,1,1,5,2,4,0,15555
34277,"H",7,3304,3,48,1000000,1001264,115,2,1,3,0,0,1,1,6,0,0,2,0,0,0,50,0,2,2,40,2,1,0,2,0,0,0,0,0,0,0,1,3,2,350,1,9,0,1,0,1,1,3,1,0,0,1,2,6,4,0,0,0,13200,4,0,0,440,40,2,1,13200,9,0,4,4,4,1,2,1,3,0,2,0,25924.613
34678,"H",7,3306,3,48,1000000,1001264,272,1,1,1,1,0,1,3,2,1,2,1,0,2,2,100,1,2,2,50,1,1,600,1,0,2,2,1000,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,250000,2,150,11,0,0,0,0,0,0,0,1,0,0,1,4,173000,9,0,4,4,4,1,1,1,1,0,0,0,53096.849
34918,"H",7,4607,3,48,1000000,1001264,53,4,1,1,1,0,1,3,2,2,2,2,0,2,2,130,2,2,2,50,2,1,1200,1,0,1,0,0,0,3,2,1,7,0,0,1,9,2,1,0,1,1,2,1,0,105000,2,780,3,8,1,0,1,58800,2,0,0,0,0,1,3,58800,9,1,3,4,3,1,1,2,7,0,4,0,38916.021
